feedback_id,customer_id,feedback_date,channel,rating,feedback_text
157,11059,2023-03-07,App Review,2,cant track my order properly
158,12572,2023-06-17,Support Ticket,4,very smooth experience no issues
159,11183,2023-06-05,Support Ticket,3,very smooth experience no issues
160,11722,2023-02-16,Email,3,checkout page not loading
161,11819,2023-06-16,App Review,2,support team resolved issue quickly
162,12625,2023-05-28,Email,3,order got cancelled automatically
163,12729,2023-05-04,Email,3,customer service is terrible
164,12604,2023-01-01,Support Ticket,4,order got cancelled automatically
165,11597,2023-03-28,Email,5,price increased suddenly not fair
166,12693,2023-05-08,Email,2,payment deducted but order failed
167,10795,2023-03-08,Email,1,delivery was late and support not helpful
168,11051,2023-01-04,App Review,3,price increased suddenly not fair
169,11643,2023-06-02,Support Ticket,3,very smooth experience no issues
170,11363,2023-02-16,Email,1,App crashes again after update
171,11981,2023-02-07,Email,5,cant track my order properly
172,11354,2023-05-23,App Review,5,order got cancelled automatically
173,11663,2023-01-21,Email,5,refund pending from last week
174,11529,2023-02-26,Email,1,refund pending from last week
175,12038,2023-04-27,App Review,5,customer service is terrible
176,11496,2023-02-15,App Review,4,order got cancelled automatically
177,12237,2023-05-22,Email,3,too many ads now hate it
178,11408,2023-05-25,Email,3,login issue cant access account
179,11400,2023-02-08,Email,5,App crashes again after update
180,11306,2023-05-17,App Review,3,awesome app easy to use
181,12680,2023-04-09,Email,2,frustrating experience will uninstall
182,12675,2023-03-18,App Review,3,checkout page not loading
183,10972,2023-04-25,App Review,4,cant track my order properly
184,11768,2023-05-14,App Review,1,delivery was late and support not helpful
185,11282,2023-05-31,App Review,5,everything works fine
186,10709,2023-04-01,App Review,4,awesome app easy to use
187,11479,2023-04-08,App Review,4,very smooth experience no issues
188,11434,2023-04-30,App Review,1,awesome app easy to use
189,10648,2023-02-15,App Review,4,checkout page not loading
190,10317,2023-02-07,Email,1,refund pending from last week
191,11257,2023-05-22,App Review,1,too many ads now hate it
192,10683,2023-04-10,App Review,3,very smooth experience no issues
193,10663,2023-03-13,Support Ticket,3,frustrating experience will uninstall
194,11998,2023-02-04,App Review,4,too many ads now hate it
195,11631,2023-05-27,Email,1,support team resolved issue quickly
196,11495,2023-01-30,App Review,3,bad experience refund still not received
197,11136,2023-03-19,App Review,1,order got cancelled automatically
198,11853,2023-03-25,Email,5,delivery was late and support not helpful
199,11520,2023-04-23,Email,4,customer service is terrible
200,12489,2023-01-25,Support Ticket,4,refund pending from last week
201,10563,2023-06-17,Email,2,price increased suddenly not fair
202,11291,2023-03-29,Support Ticket,1,refund pending from last week
203,11636,2023-01-14,App Review,5,delivery was late and support not helpful
204,12999,2023-06-03,App Review,2,customer service is terrible
205,10698,2023-04-12,App Review,3,bad experience refund still not received
206,12160,2023-05-30,App Review,4,App crashes again after update
207,10001,2023-06-25,Email,1,frustrating experience will uninstall
208,10641,2023-03-24,Email,5,refund pending from last week
209,12267,2023-04-20,App Review,3,price increased suddenly not fair
210,11589,2023-06-28,Support Ticket,2,love the app but payment failed twice
211,10854,2023-05-11,Support Ticket,1,great service very happy
212,11759,2023-06-19,App Review,1,too many ads now hate it
213,12432,2023-01-19,App Review,5,price increased suddenly not fair
214,11661,2023-01-28,App Review,4,too many ads now hate it
215,11153,2023-06-22,App Review,1,too many ads now hate it
216,11076,2023-03-12,App Review,1,bad experience refund still not received
217,11707,2023-03-04,Email,4,login issue cant access account
218,12777,2023-03-14,App Review,4,everything works fine
219,11695,2023-05-04,App Review,3,login issue cant access account
220,11733,2023-04-29,Support Ticket,2,love the app but payment failed twice
221,11439,2023-05-01,Email,1,price increased suddenly not fair
222,12294,2023-01-19,Support Ticket,4,App crashes again after update
223,10835,2023-06-24,App Review,5,App crashes again after update
224,10202,2023-05-22,App Review,1,refund pending from last week
225,10122,2023-04-30,Email,4,too many ads now hate it
226,10400,2023-06-15,App Review,3,app slow and buggy sometimes
227,10766,2023-03-02,App Review,3,refund pending from last week
228,10293,2023-06-13,Email,2,bad experience refund still not received
229,12327,2023-06-17,Email,5,too many ads now hate it
230,12931,2023-01-30,App Review,3,customer service is terrible
231,10197,2023-01-09,App Review,3,App crashes again after update
232,11930,2023-03-05,App Review,2,too many ads now hate it
233,12799,2023-06-10,App Review,1,support team resolved issue quickly
234,12191,2023-04-30,App Review,1,awesome app easy to use
235,10608,2023-02-21,App Review,4,very smooth experience no issues
236,11147,2023-03-30,App Review,1,love the app but payment failed twice
237,10186,2023-05-22,Support Ticket,4,payment deducted but order failed
238,12511,2023-02-22,Email,2,awesome app easy to use
239,11794,2023-03-19,Email,3,love the app but payment failed twice
240,10659,2023-02-10,App Review,3,refund pending from last week
241,12811,2023-03-09,App Review,2,delivery was late and support not helpful
242,11955,2023-01-08,App Review,1,bad experience refund still not received
243,12450,2023-01-02,App Review,2,everything works fine
244,11369,2023-04-15,App Review,4,very smooth experience no issues
245,11986,2023-05-05,Email,4,delivery was late and support not helpful
246,11534,2023-04-20,Email,2,order got cancelled automatically
247,10146,2023-03-27,Email,3,love the app but payment failed twice
248,12911,2023-06-18,App Review,1,app slow and buggy sometimes
249,11734,2023-04-30,Support Ticket,1,customer service is terrible
250,11843,2023-05-07,App Review,1,support team resolved issue quickly
251,10488,2023-01-16,App Review,5,payment deducted but order failed
252,12976,2023-03-03,App Review,1,awesome app easy to use
253,11959,2023-04-23,Email,1,love the app but payment failed twice
254,11663,2023-06-25,Support Ticket,2,customer service is terrible
255,12598,2023-06-07,App Review,1,very smooth experience no issues
256,12385,2023-01-12,Support Ticket,4,great service very happy
257,12919,2023-02-04,Support Ticket,1,login issue cant access account
258,10640,2023-01-11,App Review,1,support team resolved issue quickly
259,11802,2023-03-05,App Review,4,checkout page not loading
260,12520,2023-02-19,App Review,2,price increased suddenly not fair
261,11969,2023-05-29,Support Ticket,4,very smooth experience no issues
262,12198,2023-03-10,App Review,4,frustrating experience will uninstall
263,11438,2023-02-17,Email,2,delivery was late and support not helpful
264,11634,2023-01-20,App Review,4,app slow and buggy sometimes
265,10262,2023-04-11,Email,1,everything works fine
266,11787,2023-06-21,App Review,3,support team resolved issue quickly
267,12191,2023-06-10,Email,3,price increased suddenly not fair
268,12393,2023-05-17,Support Ticket,2,App crashes again after update
269,10623,2023-03-09,Support Ticket,4,too many ads now hate it
270,11016,2023-02-04,Support Ticket,5,very smooth experience no issues
271,10880,2023-03-06,App Review,5,everything works fine
272,12049,2023-01-08,Email,4,order got cancelled automatically
273,12944,2023-02-14,App Review,3,delivery was late and support not helpful
274,11327,2023-03-28,App Review,1,payment deducted but order failed
275,12301,2023-06-24,Email,2,checkout page not loading
276,10452,2023-06-17,App Review,3,payment deducted but order failed
277,11183,2023-03-17,Email,2,checkout page not loading
278,12056,2023-03-17,Support Ticket,5,price increased suddenly not fair
279,11682,2023-06-23,App Review,2,awesome app easy to use
280,12863,2023-02-16,Email,2,support team resolved issue quickly
281,12255,2023-01-15,App Review,2,awesome app easy to use
282,11154,2023-04-15,App Review,5,login issue cant access account
283,10403,2023-05-27,App Review,4,frustrating experience will uninstall
284,12199,2023-01-26,Support Ticket,4,cant track my order properly
285,12101,2023-02-21,Support Ticket,2,cant track my order properly
286,11696,2023-04-03,Support Ticket,5,App crashes again after update
287,10627,2023-05-30,Support Ticket,1,frustrating experience will uninstall
288,10586,2023-01-21,App Review,5,bad experience refund still not received
289,11648,2023-02-20,App Review,3,bad experience refund still not received
290,11443,2023-02-07,Email,2,bad experience refund still not received
291,11445,2023-01-20,App Review,3,cant track my order properly
292,10103,2023-06-06,App Review,4,delivery was late and support not helpful
293,10253,2023-06-28,App Review,1,awesome app easy to use
294,12557,2023-05-12,Email,5,bad experience refund still not received
295,11496,2023-02-24,Email,3,too many ads now hate it
296,10098,2023-04-02,App Review,2,love the app but payment failed twice
297,12200,2023-01-28,App Review,1,login issue cant access account
298,11884,2023-01-04,Email,3,too many ads now hate it
299,12961,2023-05-30,Email,3,love the app but payment failed twice
300,11919,2023-03-17,App Review,3,bad experience refund still not received
301,10877,2023-06-22,Email,4,app slow and buggy sometimes
302,10337,2023-03-08,App Review,3,support team resolved issue quickly
303,12869,2023-03-27,App Review,5,too many ads now hate it
304,10956,2023-06-11,Email,4,frustrating experience will uninstall
305,11704,2023-04-01,Email,5,payment deducted but order failed
306,10160,2023-04-15,App Review,1,login issue cant access account
307,11603,2023-01-01,Email,2,checkout page not loading
308,12848,2023-03-13,Email,2,bad experience refund still not received
309,10397,2023-03-28,Email,4,great service very happy
310,11300,2023-06-15,Email,5,bad experience refund still not received
311,10815,2023-01-06,Email,1,bad experience refund still not received
312,11527,2023-06-02,App Review,1,cant track my order properly
313,11919,2023-05-25,App Review,5,customer service is terrible
314,11415,2023-03-02,App Review,1,refund pending from last week
315,11158,2023-01-12,App Review,4,payment deducted but order failed
316,11218,2023-01-06,Email,3,delivery was late and support not helpful
317,10400,2023-01-27,Email,5,refund pending from last week
318,10639,2023-05-16,App Review,1,login issue cant access account
319,12735,2023-05-04,App Review,1,payment deducted but order failed
320,10459,2023-04-16,App Review,4,bad experience refund still not received
321,10954,2023-04-03,App Review,5,login issue cant access account
322,10469,2023-04-19,Email,3,customer service is terrible
323,11045,2023-04-09,App Review,2,too many ads now hate it
324,12797,2023-06-17,Email,4,too many ads now hate it
325,11693,2023-05-22,Support Ticket,5,delivery was late and support not helpful
326,12085,2023-02-04,App Review,5,price increased suddenly not fair
327,12277,2023-06-25,App Review,5,login issue cant access account
328,10562,2023-03-25,App Review,1,refund pending from last week
329,12485,2023-02-25,Email,1,support team resolved issue quickly
330,11799,2023-06-26,Email,4,awesome app easy to use
331,12074,2023-05-21,App Review,5,checkout page not loading
332,10225,2023-02-18,Email,2,very smooth experience no issues
333,10797,2023-02-15,Support Ticket,1,everything works fine
334,12331,2023-04-23,App Review,5,cant track my order properly
335,12926,2023-05-16,App Review,1,login issue cant access account
336,10959,2023-02-12,Support Ticket,2,app slow and buggy sometimes
337,11504,2023-05-28,Email,3,app slow and buggy sometimes
338,10452,2023-05-04,Support Ticket,4,delivery was late and support not helpful
339,10815,2023-04-07,Email,4,refund pending from last week
340,10658,2023-03-31,Support Ticket,2,cant track my order properly
341,10546,2023-02-08,App Review,4,too many ads now hate it
342,11215,2023-03-26,Email,4,support team resolved issue quickly
343,10016,2023-06-26,Support Ticket,3,cant track my order properly
344,11243,2023-03-03,Email,4,support team resolved issue quickly
345,12205,2023-04-16,App Review,2,cant track my order properly
346,12524,2023-04-17,App Review,1,great service very happy
347,11069,2023-02-23,App Review,1,refund pending from last week
348,12565,2023-05-06,App Review,1,great service very happy
349,12146,2023-01-09,App Review,3,support team resolved issue quickly
350,11768,2023-03-29,Email,5,price increased suddenly not fair
351,11060,2023-02-06,Email,4,login issue cant access account
352,12327,2023-02-18,App Review,5,price increased suddenly not fair
353,12544,2023-02-10,Email,2,love the app but payment failed twice
354,10301,2023-01-17,App Review,3,awesome app easy to use
355,10180,2023-03-29,App Review,2,price increased suddenly not fair
356,10606,2023-01-21,App Review,1,App crashes again after update
357,10699,2023-02-20,Email,1,login issue cant access account
358,10992,2023-02-28,App Review,4,everything works fine
359,11139,2023-06-16,App Review,5,delivery was late and support not helpful
360,10190,2023-02-10,App Review,1,refund pending from last week
361,12300,2023-02-08,Support Ticket,1,checkout page not loading
362,10980,2023-05-21,App Review,5,awesome app easy to use
363,12975,2023-01-11,Email,2,refund pending from last week
364,12006,2023-05-27,Email,5,everything works fine
365,11184,2023-05-19,Email,4,everything works fine
366,10127,2023-03-18,Support Ticket,5,order got cancelled automatically
367,12065,2023-05-07,App Review,3,everything works fine
368,11816,2023-02-15,App Review,4,customer service is terrible
369,11758,2023-02-14,Support Ticket,3,frustrating experience will uninstall
370,12613,2023-01-01,App Review,4,everything works fine
371,10569,2023-06-17,Email,3,App crashes again after update
372,11346,2023-04-18,Email,1,everything works fine
373,11895,2023-01-19,Email,3,login issue cant access account
374,12733,2023-03-17,Support Ticket,3,payment deducted but order failed
375,10625,2023-03-13,Support Ticket,5,great service very happy
376,12901,2023-04-19,Email,4,order got cancelled automatically
377,11686,2023-01-12,App Review,4,payment deducted but order failed
378,10154,2023-06-10,Support Ticket,1,price increased suddenly not fair
379,12537,2023-02-14,App Review,4,app slow and buggy sometimes
380,11409,2023-03-31,App Review,3,very smooth experience no issues
381,10784,2023-04-13,Support Ticket,5,app slow and buggy sometimes
382,10245,2023-01-08,App Review,5,cant track my order properly
383,11500,2023-06-02,App Review,1,checkout page not loading
384,11705,2023-04-01,App Review,5,app slow and buggy sometimes
385,12806,2023-06-23,Support Ticket,1,everything works fine
386,10537,2023-03-28,Email,2,frustrating experience will uninstall
387,11890,2023-06-07,Email,3,order got cancelled automatically
388,11841,2023-06-24,App Review,1,frustrating experience will uninstall
389,10920,2023-06-26,Email,4,customer service is terrible
390,12455,2023-06-24,Email,1,great service very happy
391,10524,2023-03-25,App Review,1,love the app but payment failed twice
392,12875,2023-03-23,App Review,4,awesome app easy to use
393,11529,2023-05-26,App Review,4,delivery was late and support not helpful
394,12950,2023-03-09,Support Ticket,5,cant track my order properly
395,10035,2023-06-10,Email,4,price increased suddenly not fair
396,10684,2023-05-07,Support Ticket,4,order got cancelled automatically
397,10019,2023-06-13,App Review,2,bad experience refund still not received
398,12368,2023-03-23,Email,1,everything works fine
399,12559,2023-05-27,Email,1,support team resolved issue quickly
400,10399,2023-06-05,Email,3,awesome app easy to use
401,12701,2023-06-17,Support Ticket,4,support team resolved issue quickly
402,10971,2023-03-25,App Review,3,support team resolved issue quickly
403,11906,2023-04-23,App Review,4,refund pending from last week
404,12518,2023-03-17,Email,3,customer service is terrible
405,11166,2023-05-02,Email,1,order got cancelled automatically
406,11115,2023-05-23,Email,1,cant track my order properly
407,10833,2023-02-10,App Review,5,support team resolved issue quickly
408,11823,2023-06-16,Email,4,awesome app easy to use
409,12774,2023-01-02,App Review,5,login issue cant access account
410,11982,2023-01-29,App Review,1,App crashes again after update
411,10853,2023-04-15,Email,5,App crashes again after update
412,10050,2023-02-20,Email,1,great service very happy
413,10574,2023-03-16,App Review,1,support team resolved issue quickly
414,11148,2023-01-10,App Review,5,very smooth experience no issues
415,12197,2023-05-22,App Review,2,too many ads now hate it
416,12361,2023-02-20,App Review,4,cant track my order properly
417,12617,2023-04-28,Email,1,price increased suddenly not fair
418,12352,2023-05-01,Support Ticket,4,awesome app easy to use
419,11715,2023-02-08,App Review,5,too many ads now hate it
420,10681,2023-01-28,Email,2,too many ads now hate it
421,10837,2023-01-03,Support Ticket,4,bad experience refund still not received
422,11077,2023-03-25,Support Ticket,1,payment deducted but order failed
423,12491,2023-06-04,App Review,4,checkout page not loading
424,12660,2023-04-27,Support Ticket,2,love the app but payment failed twice
425,12311,2023-01-02,App Review,1,love the app but payment failed twice
426,11595,2023-04-03,App Review,2,very smooth experience no issues
427,10004,2023-06-15,App Review,1,too many ads now hate it
428,11126,2023-05-11,App Review,5,too many ads now hate it
429,11219,2023-05-24,App Review,2,price increased suddenly not fair
430,10773,2023-04-04,App Review,1,awesome app easy to use
431,10876,2023-02-09,App Review,3,checkout page not loading
432,10991,2023-01-02,Support Ticket,2,frustrating experience will uninstall
433,12931,2023-03-22,Support Ticket,4,customer service is terrible
434,10046,2023-06-18,App Review,5,too many ads now hate it
435,12914,2023-01-12,Support Ticket,3,order got cancelled automatically
436,12870,2023-06-12,Support Ticket,5,support team resolved issue quickly
437,12983,2023-03-06,Email,4,everything works fine
438,12703,2023-02-24,App Review,1,checkout page not loading
439,10268,2023-02-14,Email,4,great service very happy
440,10369,2023-04-11,Support Ticket,3,too many ads now hate it
441,10635,2023-03-03,Email,4,very smooth experience no issues
442,11129,2023-02-18,App Review,5,payment deducted but order failed
443,11693,2023-05-07,Email,3,customer service is terrible
444,11682,2023-06-02,Email,5,frustrating experience will uninstall
445,10656,2023-01-23,Email,5,order got cancelled automatically
446,10119,2023-06-01,App Review,3,frustrating experience will uninstall
447,10830,2023-02-07,App Review,4,support team resolved issue quickly
448,11810,2023-01-28,Support Ticket,2,App crashes again after update
449,11081,2023-01-21,Support Ticket,5,love the app but payment failed twice
450,11974,2023-04-17,App Review,4,support team resolved issue quickly
451,11369,2023-05-26,Support Ticket,1,everything works fine
452,10740,2023-06-13,App Review,2,cant track my order properly
453,10116,2023-04-09,Email,4,refund pending from last week
454,11853,2023-06-22,Email,1,frustrating experience will uninstall
455,12838,2023-04-29,Support Ticket,1,everything works fine
456,11150,2023-03-14,Support Ticket,3,login issue cant access account
457,11931,2023-05-02,App Review,2,bad experience refund still not received
458,11012,2023-01-30,Support Ticket,3,very smooth experience no issues
459,11664,2023-04-18,App Review,2,refund pending from last week
460,11081,2023-04-08,Email,1,delivery was late and support not helpful
461,10633,2023-02-01,Email,4,App crashes again after update
462,10512,2023-06-05,Email,3,checkout page not loading
463,12849,2023-06-21,App Review,1,frustrating experience will uninstall
464,11119,2023-03-20,Support Ticket,2,price increased suddenly not fair
465,11141,2023-02-10,App Review,4,love the app but payment failed twice
466,10559,2023-03-04,App Review,1,too many ads now hate it
467,10487,2023-01-23,Email,1,cant track my order properly
468,10896,2023-04-14,App Review,1,support team resolved issue quickly
469,11212,2023-03-16,Support Ticket,5,support team resolved issue quickly
470,10703,2023-02-17,App Review,5,frustrating experience will uninstall
471,11470,2023-06-09,App Review,5,support team resolved issue quickly
472,10580,2023-02-26,Support Ticket,4,awesome app easy to use
473,12837,2023-04-28,Email,4,cant track my order properly
474,12908,2023-04-10,App Review,3,customer service is terrible
475,12294,2023-05-04,Email,4,delivery was late and support not helpful
476,10153,2023-06-10,Email,1,refund pending from last week
477,11679,2023-06-01,Email,4,too many ads now hate it
478,10996,2023-06-16,App Review,5,delivery was late and support not helpful
479,12744,2023-02-03,Support Ticket,3,price increased suddenly not fair
480,11243,2023-06-05,Support Ticket,2,bad experience refund still not received
481,11092,2023-06-14,Email,2,refund pending from last week
482,11008,2023-01-07,App Review,4,payment deducted but order failed
483,12141,2023-06-14,Support Ticket,4,refund pending from last week
484,11773,2023-02-25,Email,5,very smooth experience no issues
485,10957,2023-03-06,Email,2,customer service is terrible
486,10452,2023-02-16,App Review,5,too many ads now hate it
487,11227,2023-05-28,Support Ticket,4,frustrating experience will uninstall
488,12959,2023-01-19,Email,5,App crashes again after update
489,12265,2023-06-06,App Review,3,very smooth experience no issues
490,12521,2023-05-26,App Review,3,login issue cant access account
491,12479,2023-06-12,Support Ticket,4,price increased suddenly not fair
492,12388,2023-06-20,App Review,4,support team resolved issue quickly
493,10550,2023-05-06,Support Ticket,5,delivery was late and support not helpful
494,11635,2023-05-19,Email,1,order got cancelled automatically
495,11312,2023-02-18,Email,1,frustrating experience will uninstall
496,11757,2023-04-23,App Review,5,cant track my order properly
497,10356,2023-02-07,App Review,3,great service very happy
498,12070,2023-03-05,Support Ticket,4,app slow and buggy sometimes
499,11785,2023-03-10,App Review,3,very smooth experience no issues
500,12569,2023-05-16,Email,1,order got cancelled automatically
501,11781,2023-06-11,App Review,5,too many ads now hate it
502,12849,2023-06-25,App Review,4,love the app but payment failed twice
503,12809,2023-04-26,App Review,2,awesome app easy to use
504,12489,2023-03-06,Email,2,login issue cant access account
